ident;type;name;continent;iso_country;iso_region;municipality
00A;heliport;Total Rf Heliport;NA;US;US-PA;Bensalem
00AA;small_airport;Aero B Ranch Airport;NA;US;US-KS;Leoti
00AK;small_airport;Lowell Field;NA;US;US-AK;Anchor Point
00AL;small_airport;Epps Airpark;NA;US;US-AL;Harvest
00AR;closed;Newport Hospital & Clinic Heliport;NA;US;US-AR;Newport
00AS;small_airport;Fulton Airport;NA;US;US-OK;Alex
00AZ;small_airport;Cordes Airport;NA;US;US-AZ;Cordes
00CA;small_airport;Goldstone (GTS) Airport;NA;US;US-CA;Barstow
00CL;small_airport;Williams Ag Airport;NA;US;US-CA;Biggs
00CN;heliport;Kitchen Creek Helibase Heliport;NA;US;US-CA;Pine Valley
00CO;closed;Cass Field;NA;US;US-CO;Briggsdale
00FA;small_airport;Grass Patch Airport;NA;US;US-FL;Bushnell
00FD;heliport;Ringhaver Heliport;NA;US;US-FL;Riverview
00FL;small_airport;River Oak Airport;NA;US;US-FL;Okeechobee
00GA;small_airport;Lt World Airport;NA;US;US-GA;Lithonia
00GE;heliport;Caffrey Heliport;NA;US;US-GA;Hiram
00HI;heliport;Kaupulehu Heliport;NA;US;US-HI;Kailua-Kona
00ID;small_airport;Delta Shores Airport;NA;US;US-ID;Clark Fork
00IG;small_airport;Goltl Airport;NA;US;US-KS;McDonald
00II;closed;Bailey Generation Station Heliport;NA;US;US-IN;Chesterton
00IL;small_airport;Hammer Airport;NA;US;US-IL;Polo
00IN;heliport;St Mary Medical Center Heliport;NA;US;US-IN;Hobart
00IS;small_airport;Hayenga's Cant Find Farms Airport;NA;US;US-IL;Kings
00KS;small_airport;Hayden Farm Airport;NA;US;US-KS;Gardner
00KY;small_airport;Robbins Roost Airport;NA;US;US-KY;Stanford
00LA;heliport;Shell Chemical East Site Heliport;NA;US;US-LA;Gonzales
00LL;heliport;Ac & R Components Heliport;NA;US;US-IL;Chatham
00LS;small_airport;Lejeune Airport;NA;US;US-LA;Esterwood
00MD;small_airport;Slater Field;NA;US;US-MD;Federalsburg
00MI;heliport;Dow Chemical Heliport;NA;US;US-MI;Ludington
00MN;small_airport;Battle Lake Municipal Airport;NA;US;US-MN;Battle Lake
00MO;small_airport;Cooper Flying Service Airport;NA;US;US-MO;Alba
00MT;heliport;Livingston Healthcare Heliport;NA;US;US-MT;Livingston
00N;small_airport;Bucks Airport;NA;US;US-NJ;Bridgeton
00NC;small_airport;North Raleigh Airport;NA;US;US-NC;Louisburg
00NJ;heliport;Colgate-Piscataway Heliport;NA;US;US-NJ;New Brunswick
00NK;seaplane_base;Cliche Cove Seaplane Base;NA;US;US-NY;Beekmantown
00NY;small_airport;Weiss Airfield;NA;US;US-NY;West Bloomfield
00OH;closed;Exit 3 Airport;NA;US;US-OH;Wauseon
00OI;heliport;Miami Valley Hospital Heliport;NA;US;US-OH;Dayton
00OK;small_airport;Gull Bay Landing Airport;NA;US;US-OK;Sandsprings
00OR;heliport;Steel Systems Heliport;NA;US;US-OR;Salem
00PA;heliport;R J D Heliport;NA;US;US-PA;Coatesville
00PN;small_airport;Ferrell Field;NA;US;US-PA;Mercer
00PS;closed;Thomas Field;NA;US;US-PA;Loysville
00S;small_airport;McKenzie Bridge State Airport;NA;US;US-OR;Blue River
00SC;small_airport;Flying O Airport;NA;US;US-SC;Sumter
00SD;small_airport;Homan Field;NA;US;US-SD;Gary
00TA;closed;SW Region FAA Heliport;NA;US;US-TX;Fort Worth
00TE;heliport;Tcjc-Northeast Campus Heliport;NA;US;US-TX;Fort Worth
00TN;small_airport;Ragsdale Road Airport;NA;US;US-TN;Manchester
00TS;small_airport;Alpine Range Airport;NA;US;US-TX;Everman
00TX;closed;San Jacinto Methodist Hospital Heliport;NA;US;US-TX;Baytown
00UT;closed;Clear Creek Ranch Airport;NA;US;US-UT;Kanab
00VA;small_airport;Vaughan Airport;NA;US;US-VA;Alton
00VI;small_airport;Groundhog Mountain Airport;NA;US;US-VA;Hillsville
00W;small_airport;Lower Granite State Airport;NA;US;US-WA;Colfax
00WA;small_airport;Howell Airport;NA;US;US-WA;Longbranch
00WI;small_airport;Northern Lite Airport;NA;US;US-WI;Waupaca
00WN;small_airport;Hawks Run Airport;NA;US;US-WA;Asotin
00WV;small_airport;Lazy J. Aerodrome;NA;US;US-WV;Beverly
00WY;heliport;Mountain View Regional Hospital Heliport;NA;US;US-WY;Casper
00XS;small_airport;L P Askew Farms Airport;NA;US;US-TX;O'Donnell
01A;small_airport;Purkeypile Airport;NA;US;US-AK;Purkeypile
01AK;heliport;Providence Seward Medical Center Heliport;NA;US;US-AK;Seward
01AL;small_airport;Ware Island Airport;NA;US;US-AL;Clanton
01AR;heliport;Community Hospital of De Queen Heliport;NA;US;US-AR;De Queen
01AZ;heliport;Yat Heliport;NA;US;US-AZ;Camp Verde
01C;closed;Grant Airport;NA;US;US-MI;Grant
01CA;heliport;Lugo Substation Heliport;NA;US;US-CA;Hesperia
01CL;small_airport;Swansboro Country Airport;NA;US;US-CA;Placerville
01CN;heliport;Los Angeles County Sheriff's Department Heliport;NA;US;US-CA;Los Angeles
01CO;heliport;St Vincent General Hospital Heliport;NA;US;US-CO;Leadville
01CT;heliport;Berlin Fairgrounds Heliport;NA;US;US-CT;Berlin
01FA;small_airport;Rybolt Ranch Airport;NA;US;US-FL;Orlando
01FD;heliport;Advent Health Altamonte Springs Heliport;NA;US;US-FL;Altamonte Springs
01FL;small_airport;Cedar Knoll Flying Ranch Airport;NA;US;US-FL;Geneva
01GA;heliport;Medical Center Heliport;NA;US;US-GA;Columbus
01GE;small_airport;The Farm Airport;NA;US;US-GA;Wrightsville
01IA;small_airport;Stender Airport;NA;US;US-IA;Maysville
01ID;small_airport;Lava Hot Springs Airport;NA;US;US-ID;Lava Hot Springs
01II;small_airport;Myers Field;NA;US;US-IN;Lizton
01IL;heliport;Hoopeston Community Memorial Hospital Heliport;NA;US;US-IL;Hoopeston
01IN;heliport;Community Hospital Heliport;NA;US;US-IN;Anderson
01IS;small_airport;William E. Koenig Airport;NA;US;US-IL;Dow
01J;small_airport;Hilliard Airpark;NA;US;US-FL;Hilliard
01K;small_airport;Caldwell Municipal Airport;NA;US;US-KS;Caldwell
01KS;small_airport;Flying N Ranch Airport;NA;US;US-KS;Lost Springs
01KY;heliport;Lourdes Hospital Heliport;NA;US;US-KY;Paducah
01LA;small_airport;Barham Airport;NA;US;US-LA;Oak Ridge
01LL;small_airport;Schumaier Restricted Landing Area;NA;US;US-IL;Pinckneyville
01LS;small_airport;Country Breeze Airport;NA;US;US-LA;Slaughter
01MA;heliport;Compaq Andover Heliport;NA;US;US-MA;Andover
01MD;seaplane_base;Annapolis Seaplane Base;NA;US;US-MD;Annapolis
01ME;seaplane_base;Saint Peter's Seaplane Base;NA;US;US-ME;Portage Lake
01MI;heliport;Flow Through Terminal Heliport;NA;US;US-MI;Flint
01MN;seaplane_base;Barnes Seaplane Base;NA;US;US-MN;Cook
01MO;heliport;Highway Patrol Troop C Headquarters Heliport;NA;US;US-MO;Town and Country
01MT;small_airport;Crystal Lakes Resort Airport;NA;US;US-MT;Fortine
01NC;small_airport;Topsail Airpark;NA;US;US-NC;Holly Ridge
01NE;small_airport;Detour Airport;NA;US;US-NE;Wellfleet
01NH;small_airport;Moore Airfield;NA;US;US-NH;Canaan
01NJ;heliport;Albert Guido Memorial Heliport;NA;US;US-NJ;Newark
01NM;small_airport;Champion Ranch Airport;NA;US;US-NM;Artesia
01NV;small_airport;Lantana Ranch Airport;NA;US;US-NV;Yerington
01NY;heliport;Vassar Hospital Heliport;NA;US;US-NY;Poughkeepsie
01OI;heliport;Galion Community Hospital Heliport;NA;US;US-OH;Galion
01OK;closed;Lawrence Airport;NA;US;US-OK;Eakly
01OR;closed;Red & White Flying Service Airport;NA;US;US-OR;Silver Lake
01PA;closed;Pine Heliport;NA;US;US-PA;Mars
01PN;small_airport;Bierly(Personal Use) Airport;NA;US;US-PA;Bellefonte
01PS;small_airport;Nort's Resort Airport;NA;US;US-PA;Meshoppen
01SC;small_airport;York Airport;NA;US;US-SC;York
01TA;heliport;Thirty Thirty Matlock Office Center Heliport;NA;US;US-TX;Arlington
01TE;small_airport;Smith Field;NA;US;US-TX;Forney
01TN;small_airport;Colonial Air Park;NA;US;US-TN;Collierville
01TS;closed;St Joseph Hospital Heliport;NA;US;US-TX;Fort Worth
01TT;heliport;Clute Fire & EMS Station #1 Heliport;NA;US;US-TX;Clute
01TX;closed;Mims Farm Ultralightport;NA;US;US-TX;Waxahachie
01U;small_airport;Duckwater Airport;NA;US;US-NV;Duckwater
01UT;small_airport;La Sal Junction Airport;NA;US;US-UT;La Sal
01VA;small_airport;Pickles Airport;NA;US;US-VA;Berryville
01WA;heliport;Willapa Harbor Heliport;NA;US;US-WA;South Bend
01WI;small_airport;Prehn Cranberry Company Airport;NA;US;US-WI;Tomah
01WN;heliport;Whidbey General Hospital Heliport;NA;US;US-WA;Coupeville
01WT;heliport;Odyssey Heliport;NA;US;US-WA;Renton
01WY;small_airport;Keyhole Airport;NA;US;US-WY;Moorcroft
01XA;heliport;Ascension Seton Hays Heliport;NA;US;US-TX;Kyle
01XS;heliport;Meadowood Ranch Heliport;NA;US;US-TX;Athens
02AA;small_airport;Barefoot Airport;NA;US;US-AK;Big Lake
02AK;small_airport;Rustic Wilderness Airport;NA;US;US-AK;Willow
02AL;small_airport;Bass Field;NA;US;US-AL;Foley
02AR;closed;Three Rivers Airport;NA;US;US-AR;Little Rock
02AZ;closed;Winchester Farm Airstrip;NA;US;US-AZ;Willcox
02CA;heliport;Swepi Beta Platform Ellen Heliport;NA;US;US-CA;Huntington Beach
02CD;small_airport;Shannon Field;NA;US;US-MS;Clarksdale
02CL;small_airport;Conover Air Lodge Airport;NA;US;US-CA;Frazier Park
02CO;small_airport;Mc Cullough Airport;NA;US;US-CO;Monte Vista
02CT;heliport;Strangers Point Heliport;NA;US;US-CT;Ellington
02FA;small_airport;Osborn Airfield;NA;US;US-FL;Groveland
02FD;small_airport;Triple R Ranch Airport;NA;US;US-FL;Baker
02FL;closed;Cuchens Airport;NA;US;US-FL;Defuniak Springs
02GA;small_airport;Doug Bolton Field;NA;US;US-GA;Commerce
02GE;small_airport;Etowah Fields Airport;NA;US;US-GA;Euharlee
02HI;heliport;K3 Helipad Heliport;NA;US;US-HI;Pearl Harbor
02IA;heliport;Boone County Hospital Heliport;NA;US;US-IA;Boone
02ID;small_airport;Morgan Ranch Airport;NA;US;US-ID;Cascade
02II;small_airport;King Ultralightport;NA;US;US-IN;Westfield
02IN;small_airport;Diamond P. Field;NA;US;US-IN;Muncie
02IS;heliport;Condell Medical Center Heliport;NA;US;US-IL;Libertyville
02KS;small_airport;Jmj Landing Airport;NA;US;US-KS;St Marys
02KT;heliport;St Claire Healthcare Heliport;NA;US;US-KY;Morehead
02KY;heliport;Boone National Guard Heliport;NA;US;US-KY;Frankfort
02LA;heliport;La State Police Troop G Heliport;NA;US;US-LA;Bossier City
02LS;heliport;Windy Hill Heliport;NA;US;US-LA;Broussard
02MA;heliport;Cuttyhunk Heliport;NA;US;US-MA;Gosnold
02MD;small_airport;Garner Field;NA;US;US-MD;Brandywine
02ME;small_airport;Nadeau's Airfield;NA;US;US-ME;Acton
02MI;small_airport;Fairplains Airpark;NA;US;US-MI;Greenville
02MN;small_airport;Greenbush Municipal Airport;NA;US;US-MN;Greenbush
02MO;small_airport;Troy Airpark;NA;US;US-MO;Troy
02MS;small_airport;Watts Field;NA;US;US-MS;Rochdale
02MT;closed;Barrett Field;NA;US;US-MT;Cascade
02MU;closed;Timber Line Airpark;NA;US;US-MO;Cassville
02NC;closed;Race City Heliport;NA;US;US-NC;Landis
02NE;small_airport;Benes Service Airport;NA;US;US-NE;Valparaiso
