date;cases_esp;cases_14d_esp;cases_14d_100k_hab_esp;cases_uk;cases_14d_uk;cases_14d_100k_hab_uk;cases_fr;cases_14d_fr;cases_14d_100k_hab_fr;cases_gr;cases_14d_gr;cases_14d_100k_hab_gr;cases_it;cases_14d_it;cases_14d_100k_hab_it;cases_nt;cases_14d_nt;cases_14d_100k_hab_nt;cases_pt;cases_14d_pt;cases_14d_100k_hab_pt
01/02/2020;16;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
02/02/2020;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
03/02/2020;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
04/02/2020;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/02/2020;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/02/2020;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/02/2020;16;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
08/02/2020;9;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/02/2020;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10/02/2020;22;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/02/2020;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12/02/2020;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/02/2020;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/02/2020;19;190;0.400414788;0;7;0.010311403;0;6;0.009160945;0;11;0.013129007;0;1;0.001653936;0;0;0;0;0;0
15/02/2020;35;209;0.440456266;0;7;0.010311403;1;6;0.009160945;0;8;0.009548369;0;1;0.001653936;0;0;0;0;0;0
16/02/2020;23;222;0.467853068;0;7;0.010311403;0;6;0.009160945;0;6;0.007161277;0;1;0.001653936;0;0;0;0;0;0
17/02/2020;27;238;0.501572208;0;7;0.010311403;0;6;0.009160945;0;4;0.004774185;0;1;0.001653936;0;0;0;0;0;0
18/02/2020;27;256;0.53950624;0;7;0.010311403;0;6;0.009160945;0;4;0.004774185;0;1;0.001653936;0;0;0;0;0;0
19/02/2020;17;267;0.562688149;0;7;0.010311403;0;6;0.009160945;0;4;0.004774185;0;1;0.001653936;0;0;0;0;0;0
20/02/2020;53;311;0.655415784;0;6;0.008838345;0;6;0.009160945;0;4;0.004774185;0;1;0.001653936;0;0;0;0;0;0
21/02/2020;59;354;0.746035973;0;6;0.008838345;0;6;0.009160945;0;3;0.003580638;17;17;0.028116915;0;0;0;0;0;0
22/02/2020;58;403;0.849300839;0;6;0.008838345;0;1;0.001526824;0;3;0.003580638;42;59;0.097582233;0;0;0;0;0;0
23/02/2020;73;473;0.996822076;0;5;0.007365288;0;1;0.001526824;0;2;0.002387092;93;152;0.251398296;0;0;0;0;0;0
24/02/2020;107;558;1.175955008;4;5;0.007365288;0;1;0.001526824;0;2;0.002387092;74;226;0.373789571;0;0;0;0;0;0
25/02/2020;129;674;1.420418773;0;5;0.007365288;2;3;0.004580473;1;1;0.001193546;93;319;0.527605633;0;0;0;0;0;0
26/02/2020;146;797;1.679634662;0;5;0.007365288;4;7;0.01068777;10;11;0.013129007;131;450;0.74427127;0;0;0;0;0;0
27/02/2020;180;953;2.008396277;0;4;0.00589223;20;27;0.041224255;19;30;0.035806384;202;652;1.078366373;1;1;0.005836052;0;0;0
28/02/2020;317;1251;2.636415259;6;10;0.014730575;19;46;0.070233915;2;32;0.038193476;233;885;1.463733497;0;1;0.005836052;0;0;0
29/02/2020;243;1459;3.074764079;4;14;0.020622805;43;88;0.134360534;31;63;0.075193406;240;1125;1.860678174;5;6;0.035016311;0;0;0
01/03/2020;690;2126;4.480430728;12;26;0.038299496;30;118;0.180165261;51;114;0.136064259;566;1691;2.796806038;4;10;0.058360518;0;0;0
02/03/2020;801;2900;6.111594126;5;31;0.045664784;61;179;0.27330154;29;143;0.170677097;342;2033;3.362452202;8;18;0.105048932;2;2;0.019614172
03/03/2020;800;3673;7.740650078;11;42;0.061868416;21;200;0.30536485;37;180;0.214838304;466;2499;4.133186451;6;24;0.140065242;0;2;0.019614172
04/03/2020;953;4609;9.713219768;34;76;0.111952373;76;276;0.421403493;66;246;0.293612349;587;3086;5.104046973;14;38;0.221769967;3;5;0.049035429
05/03/2020;1284;5840;12.3074861;29;105;0.154671041;138;414;0.632105239;220;466;0.556192498;769;3855;6.375923876;44;82;0.478556245;3;8;0.078456686
06/03/2020;1625;7406;15.60774693;46;151;0.222431688;190;604;0.922201846;188;654;0.780579171;778;4616;7.63456929;46;128;0.747014626;5;13;0.127492115
